title,year,certificate,rating,description,director,writer,actors,genres
Aloha,2015,2015,5.4,A celebrated military contractor returns to the site of his greatest career triumphs and reconnects with a long-ago love while unexpectedly falling for the hard-charging Air Force watchdog assigned to him.,Cameron Crowe,"['Cameron Crowe', 'Cameron Crowe']","['Bradley Cooper', 'Rachel McAdams', 'Emma Stone', 'Alec Baldwin', 'Bill Murray', 'John Krasinski', 'Danny McBride', 'Bill Camp', 'Jaeden Martell', 'Danielle Rose Russell', 'Michael Chernus', 'Edi Gathegi', 'Dennis Bumpy Kanahele', 'Elizabeth Marvel', 'Ivana Milicevic', 'Fahim Fazli', 'Semere-Ab Etmet Yohannes', 'Kaui Kauhi']",Cameron Crowe
The Uninvited,2009,2009,6.3,"Anna returns home after a stint in a mental hospital, but her recovery is jeopardized by her cruel stepmother and ghastly visions of her dead mother.",Charles Guard,"['Charles Guard', 'Thomas Guard']","['Emily Browning', 'Arielle Kebbel', 'Elizabeth Banks', 'David Strathairn', 'Maya Massar', 'Kevin McNulty', 'Jesse Moss', 'Dean Paul Gibson', 'Don S. Davis', 'Lex Burnham', 'Matthew Bristol', 'Daniel Bristol', 'Heather Doerksen', 'Alf Humphreys', 'Ryan Cowie', 'Troy Rudolph', 'John Prowse', 'C.A. Fraser Bain']",Charles Guard
A Good Old Fashioned Orgy,2011,2011,6.1,A group of 30-year-olds who have been friends since high school attempt to throw an end-of-summer orgy.,Alex Gregory,"['Alex Gregory', 'Peter Huyck']","['Jason Sudeikis', 'Leslie Bibb', 'Tyler Labine', 'Lake Bell', 'Michelle Borth', 'Nick Kroll', 'Angela Sarafyan', 'Lindsay Sloane', 'Martin Starr', 'Rhys Coiro', 'Will Forte', 'Kelly Haas', 'Michael Harding', 'Jan Harrelson', 'Bob Hungerford', 'Peter Huyck', 'Reiko Kaneshiro', 'David Koechner']",Alex Gregory
Friday the 13th,2009,2009,5.5,A group of young adults visit a boarded up campsite named Crystal Lake where they soon encounter the mysterious Jason Voorhees and his deadly intentions.,Marcus Nispel,"['Marcus Nispel', 'Victor Miller']","['Jared Padalecki', 'Amanda Righetti', 'Derek Mears', 'Danielle Panabaker', 'Travis Van Winkle', 'Aaron Yoo', 'Jonathan Sadowski', 'Julianna Guill', 'Ben Feldman', 'Arlen Escarpeta', 'Ryan Hansen', 'Willa Ford', 'Nick Mennell', 'America Olivo', 'Kyle Davis', 'Richard Burgi', 'Chris Coppola', 'Rosemary Knower']",Marcus Nispel
Town Creek,2009,2009,5.3,A man and his brother on a mission of revenge become trapped in a harrowing occult experiment dating back to the Third Reich.,Joel Schumacher,"['Joel Schumacher', 'David Kajganich']","['Henry Cavill', 'Dominic Purcell', 'Emma Booth', 'Michael Fassbender', 'Rainer Winkelvoss', 'László Mátray', 'Joy McBrinn', 'Shea Whigham', 'Tony Barger', 'Douglas Roger', 'Michael Ntumba', 'Razvan Oprea', 'Ana Popescu', 'Florin Piersic Jr.', 'Gerard McSorley', 'Vlad Voda', 'Albert Gherasim', 'Lynn Collins']",Joel Schumacher
Memory,2006,2006,5.2,A medical researcher teams with a retired doctor to root around in the genetically stored memories of a serial killer.,Bennett Davlin,"['Bennett Davlin', 'Anthony Badalucco']","['Billy Zane', 'Tricia Helfer', 'Ann-Margret', 'Dennis Hopper', 'Terry Chen', 'Dan Pelchat', 'Rekha Sharma', 'Emily Hirst', 'Hailey Shand', 'Emily Anne Graham', 'Scott Anderson', 'Joel McFarlane', 'Greg Rogers', 'Matt Fentiman', 'Lenard Stanga', 'Nicola Correia-Damude', 'Irene Karas Loeper', 'Deirdre Blades']",Bennett Davlin
D-War,2007,2007,3.5,"Once in 500 years, ancient mythical creatures come to Earth, wreaking havoc and destruction. This time they must be stopped.",Hyung-rae Shim,"['Hyung-rae Shim', 'Hyung-rae Shim']","['Jason Behr', 'Amanda Brooks', 'Robert Forster', 'Craig Robinson', 'Aimee Garcia', 'Chris Mulkey', 'John Ales', 'Elizabeth Peña', 'Billy Gardell', 'Holmes Osborne', 'NiCole Robinson', 'Geoff Pierson', 'Cody Arens', 'Kevin Breznahan', 'Jody Carlson', 'Dominic Oliver', 'Craig Anton', 'Patricia Lee']",Hyung-rae Shim
Next,2007,2007,6.2,A Las Vegas magician who can see into the future is pursued by FBI agents seeking to use his abilities to prevent a nuclear terrorist attack.,Lee Tamahori,"['Lee Tamahori', 'Gary Goldman']","['Nicolas Cage', 'Julianne Moore', 'Jessica Biel', 'Thomas Kretschmann', 'Tory Kittles', 'José Zúñiga', 'Jim Beaver', 'Jason Butler Harner', 'Michael Trucco', 'Enzo Cilenti', 'Laetitia Danielle', 'Nicolas Pajon', 'Sergej Trifunovic', 'Charles Rahi Chun', 'Patricia Prata', 'Jon Hughes', 'Jack Ong', 'Alice Kim Cage']",Lee Tamahori
The Last Witch Hunter,2015,2015,5.9,The last witch hunter is all that stands between humanity and the combined forces of the most horrifying witches in history.,Breck Eisner,"['Breck Eisner', 'Cory Goodman']","['Vin Diesel', 'Rose Leslie', 'Elijah Wood', 'Ólafur Darri Ólafsson', 'Rena Owen', 'Julie Engelbrecht', 'Michael Caine', 'Joe Gilgun', 'Isaach De Bankolé', 'Michael Halsey', 'Sloane Coombs', 'Lotte Verbeek', 'Dawn Olivieri', 'Inbar Lavi', 'Armani Jackson', 'Aimee Carrero', 'Bex Taylor-Klaus', 'David Whalen']",Breck Eisner
Underworld: Evolution,2006,2006,6.7,"Picking up directly from the previous movie, vampire warrior Selene and the half werewolf Michael hunt for clues to reveal the history of their races and the war between them.",Len Wiseman,"['Len Wiseman', 'Danny McBride']","['Kate Beckinsale', 'Scott Speedman', 'Bill Nighy', 'Tony Curran', 'Derek Jacobi', 'Steven Mackintosh', 'Shane Brolly', 'Brian Steele', 'Zita Görög', 'Scott McElroy', 'John Mann', 'Michael Sheen', 'Sophia Myles', 'Richard Cetrone', 'Mike Mukatis', 'Krsy Fox', 'Kaja Gjesdal', 'Attila Lovaghy']",Len Wiseman
