title,year,certificate,rating,description,director,writer,actors,genres
Transformers: Revenge of the Fallen,2009,2009,5.9,"Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.",Michael Bay,"['Michael Bay', 'Ehren Kruger']","['Shia LaBeouf', 'Megan Fox', 'Josh Duhamel', 'Tyrese Gibson', 'John Turturro', 'Ramón Rodríguez', 'Kevin Dunn', 'Julie White', 'Isabel Lucas', 'John Benjamin Hickey', 'Matthew Marsden', 'Andrew Howard', 'Michael Papajohn', 'Glenn Morshower', 'John Eric Bentley', 'Erin Naas', 'Rainn Wilson', 'Katie Lowes']",Michael Bay
Jack and Jill,2011,2011,3.3,"Family guy, Jack Sadelstein, prepares for the annual event he always dreads--the Thanksgiving visit of his fraternal twin sister, the needy, and passive-aggressive Jill, who then refuses to leave.",Dennis Dugan,"['Dennis Dugan', 'Ben Zook']","['Adam Sandler', 'Katie Holmes', 'Al Pacino', 'Elodie Tougne', 'Rohan Chand', 'Eugenio Derbez', 'David Spade', 'Nick Swardson', 'Tim Meadows', 'Allen Covert', 'Norm MacDonald', 'Geoff Pierson', 'Valerie Mahaffey', 'Gary Valentine', 'Dana Carvey', 'Regis Philbin', 'Gad Elmaleh', 'Dan Patrick']",Dennis Dugan
Troll 2,1990,1990,2.9,"A vacationing family discovers that the entire town they're visiting is inhabited by goblins, disguised as humans, who plan to eat them.",Claudio Fragasso,"['Claudio Fragasso', 'Rossella Drudi']","['Michael Paul Stephenson', 'George Hardy', 'Margo Prey', 'Connie Young', 'Robert Ormsby', 'Deborah Reed', 'Jason Wright', 'Darren Ewing', 'Jason Steadman', 'David McConnell', 'Gary Carlston', 'Mike Hamill', 'Don Packard', 'Christina Reynolds', 'Glenn Gerner', 'Michele Abrams', 'Lance C. Williams', 'Elli Case']",Claudio Fragasso
Teenage Mutant Ninja Turtles,2014,2014,5.8,"When a kingpin threatens New York City, a group of mutated turtle warriors must emerge from the shadows to protect their home.",Jonathan Liebesman,"['Jonathan Liebesman', 'Josh Appelbaum']","['Megan Fox', 'Will Arnett', 'William Fichtner', 'Noel Fisher', 'Alan Ritchson', 'Pete Ploszek', 'Johnny Knoxville', 'Jeremy Howard', 'Danny Woodburn', 'Tony Shalhoub', 'Tohoru Masamune', 'Whoopi Goldberg', 'Minae Noji', 'Abby Elliott', 'Madison Mason', 'Taran Killam', 'K. Todd Freeman', 'Paul Fitzgerald']",Jonathan Liebesman
Dionysus in '69,1970,1970,5.2,"Filmed stageplay based on the ancient greek play The Bacchae written by Euripides. This play is performed by members of The Performance Group, an NYC experimental theater group who has made their own personal adaptation of this ancient text. Filmed by Brian DePalma.",Brian De Palma,"['Brian De Palma', 'Richard Schechner']","['Remi Barclay', 'Samuel Blazer', 'Jason Bosseau', 'Richard Dia', 'William Finley', 'Joan MacIntosh', 'Vicki May', 'Patrick McDermott', 'Margaret Ryan', 'William Shephard', 'Ciel Smith']",Brian De Palma
Bratz,2007,2007,3.0,"During their first year of high school, four best girlfriends face off against the domineering student body President, who wants to split them up into different social cliques.",Sean McNamara,"['Sean McNamara', 'Susan Estelle Jansen']","['Skyler Shaye', 'Janel Parrish', 'Logan Browning', 'Nathalia Ramos', 'Chelsea Kane', 'Anneliese van der Pol', 'Melise', 'Ian Nelson', 'Stephen Ford', 'Jon Voight', 'Lainie Kazan', 'William May', 'Emily Rose Everhard', 'Chet Hanks', 'Carl Rux', 'Kim Morgan Greene', 'Sasha Cohen', 'Andrea Edwards']",Sean McNamara
Old Dogs,2009,2009,5.3,Two friends and business partners find their lives turned upside down when strange circumstances lead them to be the temporary guardians of seven year-old twins.,Walt Becker,"['Walt Becker', 'David Diamond']","['Robin Williams', 'John Travolta', 'Seth Green', 'Kelly Preston', 'Conner Rayburn', 'Ella Bleu Travolta', 'Lori Loughlin', 'Bernie Mac', 'Matt Dillon', 'Ann-Margret', 'Rita Wilson', 'Amy Sedaris', 'Residente', 'Sab Shimono', 'Kevin Yamada', 'Kevin Dean-Hackett', 'Laura Allen', 'Sam Travolta']",Walt Becker
Mother's Day,2016,2016,5.6,Three generations come together in the week leading up to Mother's Day.,Garry Marshall,"['Garry Marshall', 'Anya Kochoff']","['Jennifer Aniston', 'Kate Hudson', 'Julia Roberts', 'Jason Sudeikis', 'Timothy Olyphant', 'Shay Mitchell', 'Caleb Brown', 'Brandon Spink', 'Sam Marshall', 'Siena LaGambina', 'Joseph Leo Bwarie', 'Matthew Walker', 'Suzanne Haring', 'Marty Nadler', 'Rob Nagle', 'Lily Marshall-Fricker', 'Ethan Marshall', 'Emma Marshall']",Garry Marshall
Unplanned,2019,2019,5.5,"All Abby Johnson ever wanted to do was help women. As one of the youngest Planned Parenthood clinic directors in the nation, she believed in a woman's right to choose. Until the day she saw something that changed everything.",Chuck Konzelman,"['Chuck Konzelman', 'Cary Solomon']","['Ashley Bratcher', 'Brooks Ryan', 'Robia Scott', 'Jared Lotz', 'Emma Elle Roberts', 'Robin DeMarco', 'Robert Thomason', 'Tina Toner', 'Sarah Hernandez', 'Maura Corsini', 'Lezl Gonzales', 'Mary Montoya', 'Kaiser Johnson', 'Andee Grace Burton', 'Alexander Kane', 'Stacey Bradshaw', 'Monica Peña', 'Connor Scott Frank']",Chuck Konzelman
The Phantom of the Opera,2004,2004,7.2,A young soprano becomes the obsession of a disfigured and murderous musical genius who lives beneath the Paris Opéra House.,Joel Schumacher,"['Joel Schumacher', 'Gaston Leroux']","['Gerard Butler', 'Emmy Rossum', 'Patrick Wilson', 'Miranda Richardson', 'Minnie Driver', 'Ciarán Hinds', 'Simon Callow', 'Victor McGuire', 'Jennifer Ellison', 'Murray Melvin', 'Kevin McNally', 'James Fleet', 'Imogen Bain', 'Miles Western', 'Judith Paris', 'Halcro Johnston', 'Paul Brooke', 'Oliver Chopping']",Joel Schumacher
Delgo,2008,2008,4.3,"Delgo, an adventurous but naive teenager, must rally his group of friends to protect their world from conflict between the Lockni and Nohrin people.",Marc F. Adler,"['Marc F. Adler', 'Jason Maurer']","['Freddie Prinze Jr.', 'Val Kilmer', 'Anne Bancroft', 'Chris Kattan', 'Jennifer Love Hewitt', 'Malcolm McDowell', 'Michael Clarke Duncan', 'Louis Gossett Jr.', 'Eric Idle', 'Burt Reynolds', 'Kelly Ripa', 'Sally Kellerman', 'Jed Rhein', 'Melissa McBride', 'Jeff Winter', 'Armin Shimerman', 'Don Stallings', 'Brad Abrell']",Marc F. Adler
The Ugly Truth,2009,2009,6.4,An uptight television producer takes control of a morning show segment on modern relationships hosted by a misogynistic man.,Robert Luketic,"['Robert Luketic', 'Nicole Eastman']","['Katherine Heigl', 'Gerard Butler', 'Bree Turner', 'Eric Winter', 'Nick Searcy', 'Jesse D. Goins', 'Cheryl Hines', 'John Michael Higgins', 'Noah Matthews', 'Bonnie Somerville', 'John Sloman', 'Yvette Nicole Brown', 'Nate Corddry', 'Allen Maldonado', 'Steve Little', 'Dan Callahan', 'Tess Parker', 'Arielle Vandenberg']",Robert Luketic
All About Steve,2009,2009,4.8,"Convinced that a CCN cameraman is her true love, an eccentric crossword puzzler trails him as he travels all over the country, hoping to convince him that they belong together.",Phil Traill,"['Phil Traill', 'Kim Barker']","['Sandra Bullock', 'Bradley Cooper', 'Thomas Haden Church', 'Ken Jeong', 'DJ Qualls', 'Howard Hesseman', 'Keith David', 'Beth Grant', 'Katy Mixon', 'M.C. Gainey', 'Holmes Osborne', 'Delaney Hamilton', 'Jason Jones', 'Carlos Gómez', 'George Sharperson', 'Luenell', 'Christina Carlisi', ""Joe D'Angerio""]",Phil Traill
Inferno,2016,2016,6.2,"When Robert Langdon wakes up in an Italian hospital with amnesia, he teams up with Dr. Sienna Brooks and they race across Europe together against the clock to foil a deadly global plot.",Ron Howard,"['Ron Howard', 'Dan Brown']","['Tom Hanks', 'Felicity Jones', 'Irrfan Khan', 'Ben Foster', 'Omar Sy', 'Sidse Babett Knudsen', 'Ana Ularu', 'Ida Darvish', 'Paolo Antonio Simioni', 'Alessandro Grimaldi', 'Fausto Maria Sciarappa', 'Robin Mugnaini', 'Paul Ritter', 'Vincenzo Tanassi', 'Alessandro Fabrizi', 'Simone Mariani', 'Gábor Urmai', 'Jon Donahue']",Ron Howard
Yoga Hosers,2016,2016,4.2,Two teenage yoga enthusiasts must do battle with an evil presence that is threatening to rise from its underground lair and endanger their major party plans.,Kevin Smith,"['Kevin Smith', 'Kevin Smith']","['Lily-Rose Depp', 'Harley Quinn Smith', 'Johnny Depp', 'Adam Brody', 'Harley Morenstein', 'Ashley Greene', 'Jack Depp', 'Austin Butler', 'Tyler Posey', 'Jennifer Schwalbach Smith', 'Justin Long', 'Tony Hale', 'Natasha Lyonne', 'Genesis Rodriguez', 'Vanessa Paradis', 'Haley Joel Osment', 'Ralph Garman', 'Sasheer Zamata']",Kevin Smith
Resident Evil: Afterlife,2010,2010,5.8,"While still out to destroy the evil Umbrella Corporation, Alice joins a group of survivors living in a prison surrounded by the infected who also want to relocate to the mysterious but supposedly unharmed safe haven known only as Arcadia.",Paul W.S. Anderson,"['Paul W.S. Anderson', 'Paul W.S. Anderson']","['Milla Jovovich', 'Ali Larter', 'Wentworth Miller', 'Kim Coates', 'Shawn Roberts', 'Sergio Peris-Mencheta', 'Spencer Locke', 'Boris Kodjoe', 'Sienna Guillory', 'Kacey Clarke', 'Norman Yeung', 'Fulvio Cecere', 'Bola Olubowale', 'Christopher Kano', 'Tatsuya Goke', 'Nobuya Shimamoto', 'Peter Kosaka', 'Denis Akiyama']",Paul W.S. Anderson
Taxi,2004,2004,4.5,A mouthy and feisty taxicab driver has hot tips for a green and inept cop set on solving a string of New York City bank robberies committed by a quartet of female Brazilian bank robbers.,Tim Story,"['Tim Story', 'Luc Besson']","['Queen Latifah', 'Jimmy Fallon', 'Gisele Bündchen', 'Henry Simmons', 'Jennifer Esposito', 'Ana Cristina de Oliveira', 'Ingrid Vandebosch', 'Magali Amadei', 'Ann-Margret', 'Christian Kane', 'Boris McGiver', 'Adrian Martinez', 'Joe Lisi', 'Bryna Weiss', 'GQ', 'Joey Diaz', 'Rick Overton', 'John Rothman']",Tim Story
Underworld: Blood Wars,2016,2016,5.7,Vampire death dealer Selene (Kate Beckinsale) fights to end the eternal war between the Lycan clan and the Vampire faction that betrayed her.,Anna Foerster,"['Anna Foerster', 'Cory Goodman']","['Kate Beckinsale', 'Theo James', 'Tobias Menzies', 'Lara Pulver', 'Charles Dance', 'James Faulkner', 'Peter Andersson', 'Clementine Nicholson', 'Bradley James', 'Daisy Head', 'Oliver Stark', 'Zuzana Stivínová', 'Brian Caspe', 'Jan Nemejovský', 'Sveta Driga', 'Dan Bradford', 'David Bowles', 'Tomas Fisher']",Anna Foerster
Obsessed,2009,2009,5.0,"A successful asset manager, who has just received a huge promotion, is blissfully happy in his career and in his marriage. But when a temp worker starts stalking him, all the things he's worked so hard for are placed in jeopardy.",Steve Shill,"['Steve Shill', 'David Loughery']","['Beyoncé', 'Idris Elba', 'Ali Larter', ""Jerry O'Connell"", 'Bonnie Perlman', 'Christine Lahti', 'Nathan Myers', 'Nicolas Myers', 'Matthew Humphreys', 'Scout Taylor-Compton', 'Richard Ruccolo', 'Bryan Ross', 'Nelson Mashita', 'Bruce McGill', 'Ron Roggé', 'George Ketsios', 'Meredith Roberts Quill', 'Catherine Munden']",Steve Shill
Premonition,2007,2007,5.9,"A depressed woman learns that her husband was killed in a car accident the previous day, then awakens the next morning to find him alive and well at home; then awakens the day after that to find that he's dead.",Mennan Yapo,"['Mennan Yapo', 'Bill Kelly']","['Sandra Bullock', 'Julian McMahon', 'Amber Valletta', 'Shyann McClure', 'Courtney Taylor Burness', 'Nia Long', 'Marc Macaulay', 'Kate Nelligan', 'Irene Ziegler', 'Phillip DeVona', 'Ritchie Montgomery', 'Matt Moore', 'Peter Stormare', 'Laurel Whitsett', 'Kristin Ketterer', 'Marcus Lyle Brown', 'Jason Douglas', 'David A. Shaffer']",Mennan Yapo
Prom Night,2008,2008,3.9,"Donna's senior prom is supposed to be the best night of her life, though a sadistic killer from her past has different plans for her and her friends.",Nelson McCormick,"['Nelson McCormick', 'J.S. Cardone']","['Brittany Snow', 'Scott Porter', 'Jessica Stroup', 'Dana Davis', 'Collins Pennie', 'Kelly Blatz', 'James Ransone', 'Brianne Davis', 'Kellan Lutz', 'Mary Mara', 'Ming-Na Wen', 'Johnathon Schaech', 'Idris Elba', 'Jessalyn Gilsig', 'Linden Ashby', 'Jana Kramer', 'Rachel Specter', 'Valeri Ross']",Nelson McCormick
Gods of Egypt,2016,2016,5.4,"Mortal hero Bek teams with the god Horus in an alliance against Set, the merciless god of darkness, who has usurped Egypt's throne, plunging the once peaceful and prosperous empire into chaos and conflict.",Alex Proyas,"['Alex Proyas', 'Matt Sazama']","['Brenton Thwaites', 'Nikolaj Coster-Waldau', 'Gerard Butler', 'Chadwick Boseman', 'John Samaha', 'Courtney Eaton', 'Paula Arundell', ""Alia Seror-O'Neill"", 'Emily Wheaton', 'Elodie Yung', 'Rachael Blake', 'Bryan Brown', 'Michael-Anthony Taylor', 'Emma Booth', 'Felix Williamson', 'Alexander England', 'Rufus Sewell', 'Ian Roberts']",Alex Proyas
A Haunted House,2013,2013,5.0,"Malcolm and Kisha move into their dream home, then learn that a demon also resides there. When Kisha becomes possessed, Malcolm--determined to keep his sex life on track--turns to a priest, a psychic, and a ghostbusting team for help.",Michael Tiddes,"['Michael Tiddes', 'Marlon Wayans']","['Marlon Wayans', 'Essence Atkins', 'Marlene Forte', 'David Koechner', 'Dave Sheridan', 'Nick Swardson', 'Alanna Ubach', 'Andy Daly', 'J.B. Smoove', 'Robin Thede', 'Jordenn Thompson', 'Affion Crockett', 'Cedric the Entertainer', 'Damien Bray', 'Maris Croatto', 'Joel Kelley Dauten', 'Emma Jonnz', 'Bobbie Lee Jr.']",Michael Tiddes
Mr. Bean's Holiday,2007,2007,6.4,"Mr. Bean wins a trip to Cannes where he unwittingly separates a young boy from his father and must help the two reunite. On the way he discovers France, bicycling, and true love.",Steve Bendelack,"['Steve Bendelack', 'Rowan Atkinson']","['Rowan Atkinson', 'Willem Dafoe', 'Steve Pemberton', 'Lily Atkinson', 'Preston Nyman', 'Sharlit Deyzac', 'Francois Touch', 'Emma de Caunes', 'Arsène Mosca', 'Stéphane Debac', 'Philippe Spall', 'Jean Rochefort', 'Karel Roden', 'Maxim Baldry', 'Pascal Jounier', 'Emmanuelle Cosso', 'Francis Coffinet', 'Catherine Hosmalin']",Steve Bendelack
Twelve,2010,2010,5.6,"A young drug dealer watches as his high-rolling life is dismantled in the wake of his cousin's murder, which sees his best friend arrested for the crime.",Joel Schumacher,"['Joel Schumacher', 'Jordan Melamed']","['Chace Crawford', 'Emma Roberts', 'Rory Culkin', 'Philip Ettinger', 'Esti Ginzburg', '50 Cent', 'Zoë Kravitz', 'Billy Magnussen', 'Emily Meade', 'Ellen Barkin', 'Kiefer Sutherland', 'Ako', 'Dionne Audain', 'Gregg Bello', 'Maxx Brawer', 'Jermaine Crawford', 'Chanel Maya Banks', 'Alexander Flores']",Joel Schumacher
When in Rome,2010,2010,5.5,"Beth is a young, ambitious New Yorker who is completely unlucky in love. However, on a whirlwind trip to Rome, she impulsively steals some coins from a reputed fountain of love, and is then aggressively pursued by a band of suitors.",Mark Steven Johnson,"['Mark Steven Johnson', 'David Diamond']","['Kristen Bell', 'Josh Duhamel', 'Anjelica Huston', 'Danny DeVito', 'Will Arnett', 'Jon Heder', 'Dax Shepard', 'Alexis Dziena', 'Kate Micucci', 'Peggy Lipton', 'Luca Calvani', ""Keir O'Donnell"", 'Bobby Moynihan', 'Kristen Schaal', 'Judith Malina', 'Lee Pace', 'Natalie Joy Johnson', 'Brian Golub']",Mark Steven Johnson
Year of the Dog,2007,2007,6.0,A secretary's life changes in unexpected ways after her dog dies.,Mike White,"['Mike White', 'Mike White']","['Molly Shannon', 'John C. Reilly', 'Peter Sarsgaard', 'Laura Dern', 'Regina King', 'Tom McCarthy', 'Josh Pais', 'Amy Schlagel', 'Zoe Schlagel', 'Dale Godboldo', 'Inara George', 'Liza Weil', 'Jon Shere', 'Christy Moore', 'Audrey Wasilewski', 'Brenda Canela', 'Craig Cackowski', 'Steve Berg']",Mike White
The Dilemma,2011,2011,5.3,A man discovers that his best friend's wife is having an affair.,Ron Howard,"['Ron Howard', 'Allan Loeb']","['Vince Vaughn', 'Kevin James', 'Winona Ryder', 'Jennifer Connelly', 'Channing Tatum', 'Queen Latifah', 'Amy Morton', 'Chelcie Ross', 'Eduardo N. Martinez', 'Rance Howard', 'Clint Howard', 'Guy Van Swearingen', 'Troy West', 'Laura Whyte', 'Grace Rex', 'Mike McNamara', 'Rebecca Spence', 'Tim Rhoze']",Ron Howard
The Twilight Saga: Breaking Dawn - Part 1,2011,2011,4.9,"The Quileutes close in on expecting parents Edward and Bella, whose unborn child poses a threat to the Wolf Pack and the towns people of Forks.",Bill Condon,"['Bill Condon', 'Melissa Rosenberg']","['Kristen Stewart', 'Robert Pattinson', 'Taylor Lautner', 'Gil Birmingham', 'Billy Burke', 'Sarah Clarke', 'Ty Olsson', 'Ashley Greene', 'Jackson Rathbone', 'Peter Facinelli', 'Elizabeth Reaser', 'Kellan Lutz', 'Nikki Reed', 'Christian Sloan', 'James Pizzinato', 'Ian Harmon', 'Gabriel Carter', 'Anna Kendrick']",Bill Condon
Battle: Los Angeles,2011,2011,5.7,A squad of U.S. Marines becomes the last line of defense against a global invasion.,Jonathan Liebesman,"['Jonathan Liebesman', 'Christopher Bertolini']","['Aaron Eckhart', 'Michelle Rodriguez', 'Bridget Moynahan', 'Ramón Rodríguez', 'Will Rothhaar', 'Cory Hardrict', 'Jim Parrack', 'Gino Anthony Pesi', 'Ne-Yo', 'James Hiroyuki Liao', 'Noel Fisher', ""Adetokumboh M'Cormack"", 'Bryce Cass', 'Michael Peña', 'Neil Brown Jr.', 'Taylor Handley', 'Joey King', 'Lucas Till']",Jonathan Liebesman
Skinwalkers,2006,2006,4.5,"A 12 year old boy and his mother become the targets of two warring werewolf packs, each with different intentions and motives.",James Isaac,"['James Isaac', 'James DeMonaco']","['Jason Behr', 'Elias Koteas', 'Rhona Mitra', 'Natassia Malthe', 'Kim Coates', 'Sarah Carter', 'Tom Jackson', 'Matthew Knight', 'Rogue Johnston', 'Barbara Gordon', 'Shawn Roberts', 'Lyriq Bent', 'Christine Brubaker', 'Roman Podhora', 'Wayne Ward', 'Scott Anderson', 'Caroline Mangosing', 'Ramona Pringle']",James Isaac
Flutter,2011,2011,5.2,"Chancer John lives for playing the odds - and he's always willing to take a calculated risk. But when he meets the mysterious and beautiful female bookie Stan, he discovers there's much more to gambling than just greyhounds and horses. Lured by her huge payoffs, John finds himself sucked into a surreal and dangerous world ruled by money, power and control. The questio... Read all",Giles Borg,"['Giles Borg', 'Stephen Leslie']","['Joe Anderson', 'Ricky Tomlinson', 'Laura Fraser', 'Autumn Federici', 'Billy Zane', 'John Raine', 'Zaf Naqvi', 'Richard Alan Reid', 'Max Brown', 'Luke Evans', 'Anna Schafer', 'Ed Gaughan', 'Anton Lesser', 'Mark Williams', 'Kirsty Jobling', 'Kerry Stacey', 'Helen Coverdale', 'David Anthony Thomas']",Giles Borg
The Wedding Party,1969,1969,4.7,See Robert DeNiro in his first starring role in Brian DePalma's wildly comic first feature The Wedding Party!,Brian De Palma,"['Brian De Palma', 'Wilford Leach']","['Valda Setterfield', 'Raymond McNally', 'John Braswell', 'Charles Pfluger', 'Jill Clayburgh', 'William Finley', 'Robert De Niro', 'Judy Thomas', 'Jennifer Salt', 'Sue Ann Gilfillan', 'John Quinn', 'Richard Kolmar', 'Jane Odin', 'Penny Bridgers', 'Nancy Reeder', 'Joanna Chapin', 'Cynthia Munroe', 'Kitty Gallagher']",Brian De Palma
Transformers: Dark of the Moon,2011,2011,6.2,"The Autobots learn of a Cybertronian spacecraft hidden on the moon, and race against the Decepticons to reach it and to learn its secrets.",Michael Bay,"['Michael Bay', 'Ehren Kruger']","['Shia LaBeouf', 'Rosie Huntington-Whiteley', 'Tyrese Gibson', 'Josh Duhamel', 'John Turturro', 'Patrick Dempsey', 'Frances McDormand', 'John Malkovich', 'Kevin Dunn', 'Julie White', 'Alan Tudyk', 'Ken Jeong', 'Glenn Morshower', 'Lester Speight', 'Buzz Aldrin', ""Bill O'Reilly"", 'Ravil Isyanov', 'Dustin Dennard']",Michael Bay
A Good Day to Die Hard,2013,2013,5.2,"John McClane travels to Russia to help out his seemingly wayward son, Jack, only to discover that Jack is a CIA operative working undercover, causing the father and son to team up against underworld forces.",John Moore,"['John Moore', 'Skip Woods']","['Bruce Willis', 'Jai Courtney', 'Sebastian Koch', 'Mary Elizabeth Winstead', 'Yulia Snigir', 'Radivoje Bukvic', 'Cole Hauser', 'Amaury Nolasco', 'Sergey Kolesnikov', 'Roman Luknár', 'Zolee Ganxsta', 'Péter Takátsy', 'Pasha D. Lychnikoff', 'Megalyn Echikunwoke', 'Melissa Tang', 'Rico Simonini', 'Catherine Kresge', 'April Grace']",John Moore
Diana,2013,2013,5.5,"During the last two years of her life, Princess Diana embarks on a final rite of passage: a secret love affair with Pakistani heart surgeon Hasnat Khan.",Oliver Hirschbiegel,"['Oliver Hirschbiegel', 'Stephen Jeffreys']","['Naomi Watts', 'Naveen Andrews', 'Cas Anvar', 'Charles Edwards', 'James Puddephatt', 'Douglas Hodge', 'Ilan Goodman', 'Geraldine James', 'Prasanna Puwanarajah', ""Rose O'Loughlin"", 'Michael Hadley', 'Juliet Stevenson', 'Max Wrottesley', 'Christopher Birch', 'Nathaniel Facey', 'Max Cane', 'Mary Stockley', 'Micah Balfour']",Oliver Hirschbiegel
Fifty Shades of Grey,2015,2015,4.1,"Literature student Anastasia Steele's life changes forever when she meets handsome, yet tormented, billionaire Christian Grey.",Sam Taylor-Johnson,"['Sam Taylor-Johnson', 'Kelly Marcel']","['Dakota Johnson', 'Jamie Dornan', 'Jennifer Ehle', 'Eloise Mumford', 'Victor Rasuk', 'Luke Grimes', 'Marcia Gay Harden', 'Rita Ora', 'Max Martini', 'Callum Keith Rennie', 'Andrew Airlie', 'Dylan Neal', 'Elliat Albrecht', 'Rachel Skarsten', 'Emily Fonda', 'Anthony Konechny', 'Bruce Dawson', 'Tom Butler']",Sam Taylor-Johnson
Bride Wars,2009,2009,5.4,Two best friends become rivals when they schedule their respective weddings on the same day.,Gary Winick,"['Gary Winick', 'Greg DePaul']","['Kate Hudson', 'Anne Hathaway', 'Candice Bergen', 'Bryan Greenberg', 'Chris Pratt', 'Steve Howey', 'Kristen Johnston', 'Michael Arden', 'Victor Slezak', 'Kelly Coffield Park', 'John Pankow', ""Zoe O'Grady"", 'Shannon Ferber', 'June Diane Raphael', 'Charles Bernard', 'Emily Sarah Stikeman', 'Robert Capron', 'Kallie Tabor']",Gary Winick
The Boss,2016,2016,5.4,"A titan of industry is sent to prison after she's caught insider trading. When she emerges ready to rebrand herself as America's latest sweetheart, not everyone she screwed over is so quick to forgive and forget.",Ben Falcone,"['Ben Falcone', 'Melissa McCarthy']","['Melissa McCarthy', 'Kristen Bell', 'Peter Dinklage', 'Ella Anderson', 'Tyler Labine', 'Kathy Bates', 'Cecily Strong', 'Mary Sohn', 'Kristen Schaal', 'Eva Peterson', 'Timothy Simons', 'Aleandra Newcomb', 'Annie Mumolo', 'Presley Coley', 'Dax Shepard', 'Ben Falcone', 'Mitch Silpa', 'Jim Cashman']",Ben Falcone
Awake,2007,2007,6.5,A wealthy young man undergoing heart transplant surgery discovers that the surgical team intend to murder him.,Joby Harold,"['Joby Harold', 'Joby Harold']","['Hayden Christensen', 'Jessica Alba', 'Terrence Howard', 'Lena Olin', 'Christopher McDonald', 'Sam Robards', 'Arliss Howard', 'Fisher Stevens', 'Georgina Chapman', 'David Harbour', 'Steven Hinkle', ""Denis O'Hare"", 'Charlie Hewson', 'Court Young', 'Joseph Costa', 'Poorna Jagannathan', 'Lee Wong', 'Kae Shimizu']",Joby Harold
Killers,2010,2010,5.4,"A vacationing woman meets her ideal man, leading to a swift marriage. Back at home, however, their idyllic life is upset when they discover their neighbors could be assassins who have been contracted to kill the couple.",Robert Luketic,"['Robert Luketic', 'Bob DeRosa']","['Katherine Heigl', 'Ashton Kutcher', 'Tom Selleck', ""Catherine O'Hara"", 'Katheryn Winnick', 'Kevin Sussman', 'Lisa Ann Walter', 'Casey Wilson', 'Rob Riggle', 'Martin Mull', 'Alex Borstein', 'Usher', 'LeToya Luckett', 'Michael Daniel Cassady', 'Larry Joe Campbell', 'Mary Birdsong', 'Ric Reitz', 'John Atwood']",Robert Luketic
Fifty Shades Freed,2018,2018,4.5,"Anastasia and Christian get married, but Jack Hyde continues to threaten their relationship.",James Foley,"['James Foley', 'Niall Leonard']","['Dakota Johnson', 'Jamie Dornan', 'Eric Johnson', 'Eloise Mumford', 'Rita Ora', 'Luke Grimes', 'Victor Rasuk', 'Max Martini', 'Jennifer Ehle', 'Marcia Gay Harden', 'Bruce Altman', 'Arielle Kebbel', 'Callum Keith Rennie', 'Robinne Lee', 'Brant Daugherty', 'Andrew Airlie', 'Amy Price-Francis', 'Fay Masterson']",James Foley
Slender Man,2018,2018,3.2,"In a small town in Massachusetts, a group of friends, fascinated by the internet lore of the Slender Man, attempt to prove that he doesn't actually exist - until one of them mysteriously goes missing.",Sylvain White,"['Sylvain White', 'David Birke']","['Joey King', 'Julia Goldani Telles', 'Jaz Sinclair', 'Annalise Basso', 'Alex Fitzalan', 'Taylor Richardson', 'Javier Botet', 'Jessica Blank', 'Michael Reilly Burke', 'Kevin Chapman', 'Miguel Nascimento', 'Eddie Frateschi', 'Oscar Wahlberg', 'Danny Beaton', 'Marc Carver', 'Kris Sidberry', 'Angela Hope Smith', ""Damon D'Amico Jr.""]",Sylvain White
American Psycho II: All American Girl,2002,2002,3.7,A girl named Rachael Newman has developed a taste for murder and will stop at nothing to become a college professor's assistant.,Morgan J. Freeman,"['Morgan J. Freeman', 'Alex Sanger']","['Mila Kunis', 'William Shatner', 'Geraint Wyn Davies', 'Robin Dunne', 'Lindy Booth', 'Charles Officer', 'Jenna Perry', 'Michael Kremko', 'Kate Kelton', 'Quancetia Hamilton', 'John Healy', 'Andrew Scorer', 'Kim Poirier', 'Kim Schraner', 'Shoshana Sperling', 'Thomas Dozol', 'Lynne Deragon', 'Philip Williams']",Morgan J. Freeman
Bewitched,2005,2005,4.8,"Thinking he can overshadow an unknown actress in the part, an egocentric actor unknowingly gets a witch cast in an upcoming television remake of the classic sitcom Bewitched (1964).",Nora Ephron,"['Nora Ephron', 'Nora Ephron']","['Nicole Kidman', 'Will Ferrell', 'Shirley MacLaine', 'Michael Caine', 'Jason Schwartzman', 'Kristin Chenoweth', 'Heather Burns', 'Jim Turner', 'Stephen Colbert', 'David Alan Grier', 'Michael Badalucco', 'Carole Shelley', 'Steve Carell', 'Katie Finneran', 'James Lipton', ""Conan O'Brien"", 'Amy Sedaris', 'Richard Kind']",Nora Ephron
The Possession of Hannah Grace,2018,2018,5.2,"When a cop who is just out of rehab takes the graveyard shift in a city hospital morgue, she faces a series of bizarre, violent events caused by an evil entity in one of the corpses.",Diederik Van Rooijen,"['Diederik Van Rooijen', 'Brian Sieve']","['Shay Mitchell', 'Grey Damon', 'Kirby Johnson', 'Nick Thune', 'Louis Herthum', 'Stana Katic', 'Maximillian McNamara', 'Jacob Ming-Trent', 'James A. Watson Jr.', 'Marianne Bayard', 'Adrian M. Mompoint', 'Matt Mings', 'Gijs Scholten van Aschat', 'Guy Clemens', 'Sean Burns', 'Andrea Lyman', 'George J. Vezina', 'Melissa McMeekin']",Diederik Van Rooijen
