title,year,certificate,rating,description,director,writer,stars,actors,genres
Transformers: Revenge of the Fallen,2009,2009,5.9,"Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.",Nominated for 1 Oscar,,Stars,Shia LaBeouf,Michael Bay
Jack and Jill,2011,2011,3.3,"Family guy, Jack Sadelstein, prepares for the annual event he always dreads--the Thanksgiving visit of his fraternal twin sister, the needy, and passive-aggressive Jill, who then refuses to leave.",Awards,Writers,Stars,Adam Sandler,Dennis Dugan
Troll 2,1990,1990,2.9,"A vacationing family discovers that the entire town they're visiting is inhabited by goblins, disguised as humans, who plan to eat them.",Trivia,Learn more about contributing,Stars,Michael Paul Stephenson,Claudio Fragasso
Teenage Mutant Ninja Turtles,2014,2014,5.8,"When a kingpin threatens New York City, a group of mutated turtle warriors must emerge from the shadows to protect their home.",Awards,Writers,Stars,Megan Fox,Jonathan Liebesman
Dionysus in '69,1970,1970,5.2,"Filmed stageplay based on the ancient greek play The Bacchae written by Euripides. This play is performed by members of The Performance Group, an NYC experimental theater group who has made their own personal adaptation of this ancient text. Filmed by Brian DePalma.",Awards,Learn more about contributing,Stars,Remi Barclay,Brian De Palma
Bratz,2007,2007,3.0,"During their first year of high school, four best girlfriends face off against the domineering student body President, who wants to split them up into different social cliques.",Awards,Learn more about contributing,Stars,Skyler Shaye,Sean McNamara
Old Dogs,2009,2009,5.3,Two friends and business partners find their lives turned upside down when strange circumstances lead them to be the temporary guardians of seven year-old twins.,Awards,Learn more about contributing,Stars,Robin Williams,Walt Becker
Mother's Day,2016,2016,5.6,Three generations come together in the week leading up to Mother's Day.,Awards,Writers,Stars,Jennifer Aniston,Garry Marshall
Unplanned,2019,2019,5.5,"All Abby Johnson ever wanted to do was help women. As one of the youngest Planned Parenthood clinic directors in the nation, she believed in a woman's right to choose. Until the day she saw something that changed everything.",Awards,Learn more about contributing,Stars,Ashley Bratcher,Chuck Konzelman
The Phantom of the Opera,2004,2004,7.2,A young soprano becomes the obsession of a disfigured and murderous musical genius who lives beneath the Paris Opéra House.,Nominated for 3 Oscars,,Stars,Gerard Butler,Joel Schumacher
Delgo,2008,2008,4.3,"Delgo, an adventurous but naive teenager, must rally his group of friends to protect their world from conflict between the Lockni and Nohrin people.",Trivia,Writers,Stars,Freddie Prinze Jr.,Marc F. Adler
The Ugly Truth,2009,2009,6.4,An uptight television producer takes control of a morning show segment on modern relationships hosted by a misogynistic man.,Awards,Learn more about contributing,Stars,Katherine Heigl,Robert Luketic
All About Steve,2009,2009,4.8,"Convinced that a CCN cameraman is her true love, an eccentric crossword puzzler trails him as he travels all over the country, hoping to convince him that they belong together.",Awards,Learn more about contributing,Stars,Sandra Bullock,Phil Traill
Inferno,2016,2016,6.2,"When Robert Langdon wakes up in an Italian hospital with amnesia, he teams up with Dr. Sienna Brooks and they race across Europe together against the clock to foil a deadly global plot.",Awards,Learn more about contributing,Stars,Tom Hanks,Ron Howard
Yoga Hosers,2016,2016,4.2,Two teenage yoga enthusiasts must do battle with an evil presence that is threatening to rise from its underground lair and endanger their major party plans.,Awards,Learn more about contributing,Stars,Lily-Rose Depp,Kevin Smith
Resident Evil: Afterlife,2010,2010,5.8,"While still out to destroy the evil Umbrella Corporation, Alice joins a group of survivors living in a prison surrounded by the infected who also want to relocate to the mysterious but supposedly unharmed safe haven known only as Arcadia.",Awards,,Stars,Milla Jovovich,Paul W.S. Anderson
Taxi,2004,2004,4.5,A mouthy and feisty taxicab driver has hot tips for a green and inept cop set on solving a string of New York City bank robberies committed by a quartet of female Brazilian bank robbers.,Awards,Writers,Stars,Queen Latifah,Tim Story
Underworld: Blood Wars,2016,2016,5.7,Vampire death dealer Selene (Kate Beckinsale) fights to end the eternal war between the Lycan clan and the Vampire faction that betrayed her.,Trivia,Writers,Stars,Kate Beckinsale,Anna Foerster
Obsessed,2009,2009,5.0,"A successful asset manager, who has just received a huge promotion, is blissfully happy in his career and in his marriage. But when a temp worker starts stalking him, all the things he's worked so hard for are placed in jeopardy.",Awards,,Stars,Beyoncé,Steve Shill
Premonition,2007,2007,5.9,"A depressed woman learns that her husband was killed in a car accident the previous day, then awakens the next morning to find him alive and well at home; then awakens the day after that to find that he's dead.",Awards,Learn more about contributing,Stars,Sandra Bullock,Mennan Yapo
Prom Night,2008,2008,3.9,"Donna's senior prom is supposed to be the best night of her life, though a sadistic killer from her past has different plans for her and her friends.",Awards,,Stars,Brittany Snow,Nelson McCormick
Gods of Egypt,2016,2016,5.4,"Mortal hero Bek teams with the god Horus in an alliance against Set, the merciless god of darkness, who has usurped Egypt's throne, plunging the once peaceful and prosperous empire into chaos and conflict.",Awards,Learn more about contributing,Stars,Brenton Thwaites,Alex Proyas
A Haunted House,2013,2013,5.0,"Malcolm and Kisha move into their dream home, then learn that a demon also resides there. When Kisha becomes possessed, Malcolm--determined to keep his sex life on track--turns to a priest, a psychic, and a ghostbusting team for help.",Awards,Learn more about contributing,Stars,Marlon Wayans,Michael Tiddes
Mr. Bean's Holiday,2007,2007,6.4,"Mr. Bean wins a trip to Cannes where he unwittingly separates a young boy from his father and must help the two reunite. On the way he discovers France, bicycling, and true love.",Awards,Writers,Stars,Rowan Atkinson,Steve Bendelack
Twelve,2010,2010,5.6,"A young drug dealer watches as his high-rolling life is dismantled in the wake of his cousin's murder, which sees his best friend arrested for the crime.",Awards,Learn more about contributing,Stars,Chace Crawford,Joel Schumacher
When in Rome,2010,2010,5.5,"Beth is a young, ambitious New Yorker who is completely unlucky in love. However, on a whirlwind trip to Rome, she impulsively steals some coins from a reputed fountain of love, and is then aggressively pursued by a band of suitors.",Awards,,Stars,Kristen Bell,Mark Steven Johnson
Year of the Dog,2007,2007,6.0,A secretary's life changes in unexpected ways after her dog dies.,Awards,Learn more about contributing,Stars,Molly Shannon,Mike White
The Dilemma,2011,2011,5.3,A man discovers that his best friend's wife is having an affair.,Awards,Learn more about contributing,Stars,Vince Vaughn,Ron Howard
The Twilight Saga: Breaking Dawn - Part 1,2011,2011,4.9,"The Quileutes close in on expecting parents Edward and Bella, whose unborn child poses a threat to the Wolf Pack and the towns people of Forks.",Awards,,Stars,Kristen Stewart,Bill Condon
Battle: Los Angeles,2011,2011,5.7,A squad of U.S. Marines becomes the last line of defense against a global invasion.,Awards,Learn more about contributing,Stars,Aaron Eckhart,Jonathan Liebesman
Skinwalkers,2006,2006,4.5,"A 12 year old boy and his mother become the targets of two warring werewolf packs, each with different intentions and motives.",Trivia,,Stars,Jason Behr,James Isaac
Flutter,2011,2011,5.2,"Chancer John lives for playing the odds - and he's always willing to take a calculated risk. But when he meets the mysterious and beautiful female bookie Stan, he discovers there's much more to gambling than just greyhounds and horses. Lured by her huge payoffs, John finds himself sucked into a surreal and dangerous world ruled by money, power and control. The questio... Read all",Release date,Learn more about contributing,Stars,Joe Anderson,Giles Borg
The Wedding Party,1969,1969,4.7,See Robert DeNiro in his first starring role in Brian DePalma's wildly comic first feature The Wedding Party!,Trivia,Learn more about contributing,Stars,Valda Setterfield,Brian De Palma
Transformers: Dark of the Moon,2011,2011,6.2,"The Autobots learn of a Cybertronian spacecraft hidden on the moon, and race against the Decepticons to reach it and to learn its secrets.",Nominated for 3 Oscars,,Stars,Shia LaBeouf,Michael Bay
A Good Day to Die Hard,2013,2013,5.2,"John McClane travels to Russia to help out his seemingly wayward son, Jack, only to discover that Jack is a CIA operative working undercover, causing the father and son to team up against underworld forces.",Awards,,Stars,Bruce Willis,John Moore
Diana,2013,2013,5.5,"During the last two years of her life, Princess Diana embarks on a final rite of passage: a secret love affair with Pakistani heart surgeon Hasnat Khan.",Awards,Learn more about contributing,Stars,Naomi Watts,Oliver Hirschbiegel
Fifty Shades of Grey,2015,2015,4.1,"Literature student Anastasia Steele's life changes forever when she meets handsome, yet tormented, billionaire Christian Grey.",Nominated for 1 Oscar,,Stars,Dakota Johnson,Sam Taylor-Johnson
Bride Wars,2009,2009,5.4,Two best friends become rivals when they schedule their respective weddings on the same day.,Awards,,Stars,Kate Hudson,Gary Winick
The Boss,2016,2016,5.4,"A titan of industry is sent to prison after she's caught insider trading. When she emerges ready to rebrand herself as America's latest sweetheart, not everyone she screwed over is so quick to forgive and forget.",Awards,Learn more about contributing,Stars,Melissa McCarthy,Ben Falcone
Awake,2007,2007,6.5,A wealthy young man undergoing heart transplant surgery discovers that the surgical team intend to murder him.,Awards,Learn more about contributing,Stars,Hayden Christensen,Joby Harold
Killers,2010,2010,5.4,"A vacationing woman meets her ideal man, leading to a swift marriage. Back at home, however, their idyllic life is upset when they discover their neighbors could be assassins who have been contracted to kill the couple.",Awards,,Stars,Katherine Heigl,Robert Luketic
Fifty Shades Freed,2018,2018,4.5,"Anastasia and Christian get married, but Jack Hyde continues to threaten their relationship.",Awards,Learn more about contributing,Stars,Dakota Johnson,James Foley
Slender Man,2018,2018,3.2,"In a small town in Massachusetts, a group of friends, fascinated by the internet lore of the Slender Man, attempt to prove that he doesn't actually exist - until one of them mysteriously goes missing.",Awards,Learn more about contributing,Stars,Joey King,Sylvain White
American Psycho II: All American Girl,2002,2002,3.7,A girl named Rachael Newman has developed a taste for murder and will stop at nothing to become a college professor's assistant.,Trivia,Learn more about contributing,Stars,Mila Kunis,Morgan J. Freeman
Bewitched,2005,2005,4.8,"Thinking he can overshadow an unknown actress in the part, an egocentric actor unknowingly gets a witch cast in an upcoming television remake of the classic sitcom Bewitched (1964).",Awards,Learn more about contributing,Stars,Nicole Kidman,Nora Ephron
The Possession of Hannah Grace,2018,2018,5.2,"When a cop who is just out of rehab takes the graveyard shift in a city hospital morgue, she faces a series of bizarre, violent events caused by an evil entity in one of the corpses.",Awards,Learn more about contributing,Stars,Shay Mitchell,Diederik Van Rooijen
Tyler Perry's Boo 2! A Madea Halloween,2017,2017,3.8,"Madea, Bam, and Hattie venture to a haunted campground and the group must run for their lives when monsters, goblins, and the boogeyman are unleashed.",Awards,Learn more about contributing,Stars,Tyler Perry,Tyler Perry
Transformers: The Last Knight,2017,2017,5.2,"A deadly threat from Earth's history reappears and a hunt for a lost artifact takes place between Autobots and Decepticons, while Optimus Prime encounters his creator in space.",Awards,Writers,Stars,Mark Wahlberg,Michael Bay
Ride Along 2,2016,2016,5.9,"As his wedding day approaches, Ben heads to Miami with his soon-to-be brother-in-law James to bring down a drug dealer who's supplying the dealers of Atlanta with product.",Awards,Learn more about contributing,Stars,Ice Cube,Tim Story
A Madea Family Funeral,2019,2019,4.5,"A joyous family reunion becomes a hilarious nightmare as Madea and the crew travel to backwoods Georgia, where they find themselves unexpectedly planning a funeral that might unveil unsavory family secrets.",Awards,Learn more about contributing,Stars,Tyler Perry,Tyler Perry
Resident Evil: Retribution,2012,2012,5.3,Alice fights alongside a resistance movement to regain her freedom from an Umbrella Corporation testing facility.,Awards,,Stars,Milla Jovovich,Paul W.S. Anderson
Fifty Shades Darker,2017,2017,4.5,"While Christian wrestles with his inner demons, Anastasia must confront the anger and envy of the women who came before her.",Awards,,Stars,Dakota Johnson,James Foley
Power Rangers,2017,2017,5.9,"When Earth is on the verge of an alien invasion, five teenagers, who are infused with superhuman abilities, must harness their newfound powers to battle this threat - as the Power Rangers.",Awards,Writers,Stars,Dacre Montgomery,Dean Israelite
Dragonball Evolution,2009,2009,2.6,"The young warrior Son Goku sets out on a quest, racing against time and the vengeful King Piccolo, to collect a set of seven magical orbs that will grant their wielder unlimited power.",Awards,,Stars,Justin Chatwin,James Wong
Stealth,2005,2005,5.0,"Deeply ensconced in a top-secret military program, three pilots struggle to bring an artificial intelligence program under control before it initiates the next world war.",Awards,Learn more about contributing,Stars,Josh Lucas,Rob Cohen
The Stepford Wives,2004,2004,5.3,The secret to a Stepford wife lies behind the doors of the Men's Association.,Awards,Learn more about contributing,Stars,Nicole Kidman,Frank Oz
The Huntsman: Winter's War,2016,2016,6.1,"Eric and fellow warrior Sara, raised as members of ice Queen Freya's army, try to conceal their forbidden love as they fight to survive the wicked intentions of both Freya and her sister Ravenna.",Awards,Learn more about contributing,Stars,Chris Hemsworth,Cedric Nicolas-Troyan
London Has Fallen,2016,2016,5.9,"In London for the Prime Minister's funeral, Mike Banning is caught up in a plot to assassinate all the attending world leaders.",Awards,Writers,Stars,Gerard Butler,Babak Najafi
Gilda Live,1980,1980,6.9,"A filmed version of the Broadway show starring comedienne Gilda Radner, complete with the characters she made famous on the TV show ""Saturday Night Live.""",Trivia,Writers,Stars,Gilda Radner,Mike Nichols
Show Dogs,2018,2018,3.9,"Max, a macho, solitary Rottweiler police dog is ordered to go undercover as a primped show dog in a prestigious Dog Show, along with his human partner, to avert a disaster from happening.",Awards,Learn more about contributing,Stars,Will Arnett,Raja Gosnell
Half Past Dead,2002,2002,4.6,A man goes undercover in a hi-tech prison to find information to help prosecute those who killed his wife. While there he stumbles onto a plot involving a death-row inmate and his $200 million stash of gold.,Awards,Learn more about contributing,Stars,Morris Chestnut,Don Michael Paul
Allegiant,2016,2016,5.6,"After the earth-shattering revelations of Insurgent, Tris must escape with Four beyond the wall that encircles Chicago, to finally discover the shocking truth of the world around them.",Awards,Writers,Stars,Shailene Woodley,Robert Schwentke
Murder à la Mod,1968,1968,5.4,"Naive young Karen wants to help her struggling amateur-filmmaker boyfriend Christopher raise enough money so he can divorce his wife. Meanwhile, jolly psycho prankster Otto stalks the building where Christopher is shooting a low-grade adult movie in order to keep himself afloat.",Trivia,Learn more about contributing,Stars,Andra Akers,Brian De Palma
Aaron Slick from Punkin Crick,1952,1952,5.2,"Shy farmboy loves his next-door neighbor, but she dreams of going to the big city. Then she gets mixed up with big-city gangsters.",Trivia,Learn more about contributing,Stars,Alan Young,Claude Binyon
The Gunman,2015,2015,5.8,"A sniper on a mercenary assassination team kills the minister of mines of the Congo. Terrier's successful kill shot forces him into hiding. Returning to the Congo years later, he becomes the target of a hit squad himself.",Awards,Writers,Stars,Sean Penn,Pierre Morel
The Adventures of Pluto Nash,2002,2002,3.8,"In the future, a man struggles to keep his lunar nightclub out of the hands of the Mafia.",Awards,Learn more about contributing,Stars,Eddie Murphy,Ron Underwood
Bullet to the Head,2012,2012,5.7,"After watching their respective partners die, a New Orleans hitman and a Washington, D.C. detective form an alliance in order to bring down their common enemy.",Awards,Learn more about contributing,Stars,Sylvester Stallone,Walter Hill
Bad Company,2002,2002,5.6,"When an Ivy League-educated C.I.A. Agent is killed during an operation, the secret agency recruits his twin brother (Chris Rock).",Trivia,Writers,Stars,Anthony Hopkins,Joel Schumacher
Insurgent,2015,2015,6.2,Beatrice Prior must confront her inner demons and continue her fight against a powerful alliance which threatens to tear her society apart with the help from others on her side.,Awards,Writers,Stars,Shailene Woodley,Robert Schwentke
Rollerball,2002,2002,3.1,The big thing in 2005 is a violent sport which can have some pretty serious consequences... like dying.,Awards,Learn more about contributing,Stars,Chris Klein,John McTiernan
Escape Plan,2013,2013,6.7,"When a structural-security authority finds himself set up and incarcerated in the world's most secret and secure prison, he has to use his skills to escape with help from the inside.",Awards,Learn more about contributing,Stars,Sylvester Stallone,Mikael Håfström
Trespass,2011,2011,5.3,"As they're held for ransom, a husband and wife's predicament grows more dire amid the discovery of betrayal and deception.",Awards,Learn more about contributing,Stars,Nicolas Cage,Joel Schumacher
Regression,2015,2015,5.6,A detective and a psychoanalyst uncover evidence of a satanic cult while investigating a young woman's terrifying past.,Awards,Learn more about contributing,Stars,Ethan Hawke,Alejandro Amenábar
Lady in the Water,2006,2006,5.5,"Apartment building superintendent Cleveland Heep rescues what he thinks is a young woman from the pool he maintains. When he discovers that she is actually a character from a bedtime story who is trying to make the journey back to her home, he works with his tenants to protect his new friend from the creatures that are determined to keep her in our world.",Awards,,Stars,Paul Giamatti,M. Night Shyamalan
Pain & Gain,2013,2013,6.4,A trio of bodybuilders in Florida get caught up in an extortion ring and a kidnapping scheme that goes terribly wrong.,Awards,,Stars,Mark Wahlberg,Michael Bay
Battleship,2012,2012,5.8,A fleet of ships is forced to do battle with an armada of unknown origins in order to discover and thwart their destructive goals.,Awards,,Stars,Alexander Skarsgård,Peter Berg
Fantastic Four,2015,2015,4.3,Four young outsiders teleport to an alternate and dangerous universe which alters their physical form in shocking ways. The four must learn to harness their new abilities and work together to save Earth from a former friend turned enemy.,Awards,Writers,Stars,Miles Teller,Josh Trank
Just My Luck,2006,2006,5.4,"Manhattanite Ashley is known to many as the luckiest woman around. After a chance encounter with a down-and-out young man, however, she realizes that she's swapped her fortune for his.",Awards,Writers,Stars,Lindsay Lohan,Donald Petrie
Annie,2014,2014,5.3,"A foster kid, who lives with her mean foster mom, sees her life change when business tycoon and New York City mayoral candidate Will Stacks makes a thinly-veiled campaign move and takes her in.",Awards,Writers,Stars,Quvenzhané Wallis,Will Gluck
Halloween 5: The Revenge of Michael Myers,1989,1989,5.0,"One year after the events of Halloween 4: The Return of Michael Myers (1988), the Shape returns to Haddonfield once again in an attempt to kill his now-mute niece.",Awards,Writers,Stars,Donald Pleasence,Dominique Othenin-Girard
Angels & Demons,2009,2009,6.7,Harvard symbologist Robert Langdon works with a nuclear physicist to solve a murder and prevent a terrorist act against the Vatican during one of the significant events within the church.,Awards,,Stars,Tom Hanks,Ron Howard
Youth Without Youth,2007,2007,6.1,"A love story wrapped in a mystery. Set in World War II Europe, a professor is changed by a cataclysmic event and explores the mysteries of life.",Awards,Learn more about contributing,Stars,Tim Roth,Francis Ford Coppola
Zoom,2006,2006,4.3,Former superhero Jack is called back to work to transform an unlikely group of ragtag kids into superheroes at a private academy.,Awards,Learn more about contributing,Stars,Tim Allen,Peter Hewitt
Hannah Montana: The Movie,2009,2009,4.5,"As Hannah Montana's popularity begins to take over her life, Miley Stewart, on the urging from her father takes a trip to her hometown of Crowley Corners, Tennessee to get some perspective on what matters in life the most.",Awards,Writers,Stars,Miley Cyrus,Peter Chelsom
Survival of the Dead,2009,2009,4.8,"On an island off the coast of North America, local residents simultaneously fight a zombie epidemic while hoping for a cure to return their un-dead relatives back to their human state.",Awards,,Stars,Alan Van Sprang,George A. Romero
Whiteout,2009,2009,5.5,U.S. Marshal Carrie Stetko tracks a killer in Antarctica as the sun is about to set for six months.,Trivia,Writers,Stars,Kate Beckinsale,Dominic Sena
Secret Society of Second-Born Royals,2020,2020,4.9,Follows Sam's adventures at a top-secret training program for a new class of second-born royals tasked with saving the world.,Awards,Learn more about contributing,Stars,Peyton Elizabeth Lee,Anna Mastro
Halloween,2007,2007,6.0,"After being committed for 17 years, Michael Myers, now a grown man and still very dangerous, escapes from the mental institution and immediately returns to Haddonfield to find his baby sister, Laurie.",Awards,,Stars,Scout Taylor-Compton,Rob Zombie
The Hustle,2019,2019,5.4,Two con women - one low rent and the other high class - team up to take down the men who have wronged them.,Awards,Writers,Stars,Anne Hathaway,Chris Addison
The Wrong Missy,2020,2020,5.7,"Tim thinks he's invited the woman of his dreams on a work retreat to Hawaii, realizing too late he mistakenly texted someone from a nightmare blind date.",Awards,Learn more about contributing,Stars,David Spade,Tyler Spindel
What Men Want,2019,2019,5.3,"A woman is boxed out by the male sports agents in her profession, but gains an unexpected edge over them when she develops the ability to hear men's thoughts.",Awards,Writers,Stars,Taraji P. Henson,Adam Shankman
The Kissing Booth 2,2020,2020,5.7,"In the sequel to 2018's THE KISSING BOOTH, high school senior Elle juggles a long-distance relationship with her dreamy boyfriend Noah, college applications, and a new friendship with a handsome classmate that could change everything.",Awards,Learn more about contributing,Stars,Joey King,Vince Marcello
Waltzes from Vienna,1934,1934,5.8,The story of Johann Strauss the elder and younger.,Trivia,Writers,Stars,Edmund Gwenn,Alfred Hitchcock
Brahms: The Boy II,2020,2020,4.7,"After a family moves into the Heelshire Mansion, their young son soon makes friends with a life-like doll called Brahms.",Awards,Learn more about contributing,Stars,Katie Holmes,William Brent Bell
Sorority Row,2009,2009,5.1,"A group of sorority sisters try to cover up the death of their house-sister after a prank gone wrong, only to be stalked by a serial killer.",Awards,,Stars,Briana Evigan,Stewart Hendler
Desperados,2020,2020,5.2,"A panicked young woman, with her reluctant friends in tow, rushes to Mexico to try and delete a ranting email she sent to her new boyfriend.",Awards,Learn more about contributing,Stars,Nasim Pedrad,LP
Rush Hour 3,2007,2007,6.2,"After an attempted assassination on Ambassador Han, Lee and Carter head to Paris to protect a French woman with knowledge of the Triads' secret leaders.",Awards,Learn more about contributing,Stars,Jackie Chan,Brett Ratner
Artemis Fowl,2020,2020,4.2,"Artemis Fowl, a young criminal prodigy, hunts down a secret society of fairies to find his missing father.",Awards,Learn more about contributing,Stars,Ferdia Shaw,Kenneth Branagh
Æon Flux,2005,2005,5.4,"Æon Flux is a mysterious assassin working for the Monicans, a group of rebels trying to overthrow the government. When she is sent on a mission to kill the Chairman, a whole new mystery is found.",Awards,Learn more about contributing,Stars,Charlize Theron,Karyn Kusama
Dudley Do-Right,1999,1999,3.9,Inept Canadian mountie Dudley Do-Right chases after villian Snidely Whiplash and woos girlfriend Nell Fenwick.,Awards,Learn more about contributing,Stars,Brendan Fraser,Hugh Wilson
To the Wonder,2012,2012,5.8,"After falling in love in Paris, Marina and Neil come to Oklahoma, where problems arise. Their church's Spanish-born pastor struggles with his faith, while Neil encounters a woman from his childhood.",Awards,Learn more about contributing,Stars,Ben Affleck,Terrence Malick
365 dni,2020,2020,3.3,"Massimo is a member of the Sicilian Mafia family and Laura is a sales director. She does not expect that on a trip to Sicily trying to save her relationship, Massimo will kidnap her and give her 365 days to fall in love with him.",Awards,Writers,Stars,Anna-Maria Sieklucka,Barbara Bialowas
Gloria,1999,1999,5.1,"After serving three years in prison covering for her gangster boyfriend, Kevin, Gloria returns to New York City for the money she was promised. Inside Kevin's base of operations, she finds 7 year old Nicky, whose family has been killed.",Awards,Learn more about contributing,Stars,Sharon Stone,Sidney Lumet
Rock of Ages,2012,2012,5.9,A small-town girl and a city boy meet on the Sunset Strip while pursuing their Hollywood dreams.,Awards,,Stars,Julianne Hough,Adam Shankman
Swing,1999,1999,6.1,"When Martin gets out of prison, the guards warn him to get a job or end up back in jail. Martin decides to start his own band. The band is a smashing success until the police find out that it was backed with stolen money.",Awards,Learn more about contributing,Stars,Hugo Speer,Nick Mead
The King and I,1999,1999,4.3,"Traveling to the exotic kingdom of Siam, English schoolteacher Anna Leonowens soon discovers that her most difficult challenge is the stubborn, imperious King himself.",Awards,Writers,Stars,Miranda Richardson,Richard Rich
Don't Go Breaking My Heart,1999,1999,5.4,"Well meaning friends try to persuade Suzanne, a beautiful widow, to remarry and the choice seems to be between Frank, a philandering dentist, and Tony, a sensitive, failing sports trainer who helps her son.",Trivia,Learn more about contributing,Stars,Jenny Seagrove,Willi Patterson
8: The Mormon Proposition,2010,2010,7.1,"A scorching indictment of the Mormon Church's historic involvement in the promotion & passage of California's Proposition 8 and the Mormon religion's secretive, decades-long campaign against LGBT human rights.",Awards,Learn more about contributing,Stars,Spencer Jones,Reed Cowan
Play It to the Bone,1999,1999,5.5,Two best friends and former middleweight contenders travel to Las Vegas to fight each other for the first time.,Trivia,Learn more about contributing,Stars,Woody Harrelson,Ron Shelton
A Dog of Flanders,1999,1999,6.2,"Heartwarming story about an orphaned boy whose hard life is offset by his love for an abandoned dog, his determination to become a great painter, and his friendship with an artist.",Awards,Learn more about contributing,Stars,Jack Warden,Kevin Brodie
The Purge,2013,2013,5.7,"A wealthy family is held hostage for harboring the target of a murderous syndicate during the Purge, a 12-hour period in which any and all crime is legal.",Awards,Learn more about contributing,Stars,Ethan Hawke,James DeMonaco
The Haunting,1999,1999,5.0,A study in fear escalates into a heart-stopping nightmare for a professor and three subjects trapped in a mysterious mansion.,Awards,,Stars,Liam Neeson,Jan de Bont
Nick of Time,1995,1995,6.3,"An unimpressive, everyday man is forced into a situation where he is told to kill a politician to save his kidnapped daughter.",Trivia,Learn more about contributing,Stars,Johnny Depp,John Badham
X-Men Origins: Wolverine,2009,2009,6.5,"The early years of James Logan, featuring his rivalry with his brother Victor Creed, his service in the special forces team Weapon X, and his experimentation into the metal-lined mutant Wolverine.",Awards,,Stars,Hugh Jackman,Gavin Hood
The Twilight Saga: Breaking Dawn - Part 2,2012,2012,5.5,"After the birth of Renesmee/Nessie, the Cullens gather other vampire clans in order to protect the child from a false allegation that puts the family in front of the Volturi.",Nominated for 1 BAFTA Award,,Stars,Kristen Stewart,Bill Condon
Black Knight,2001,2001,4.9,"Martin Lawrence plays Jamal, an employee in Medieval World amusement park. After sustaining a blow to the head, he awakens to find himself in 14th century England.",Awards,Learn more about contributing,Stars,Martin Lawrence,Gil Junger
Kangaroo Jack,2003,2003,4.4,"Two childhood friends, a New York hairstylist and a would-be musician, get caught up with the mob and are forced to deliver $50,000 to Australia, but things go haywire when the money is lost to a wild kangaroo.",Awards,,Stars,Anthony Anderson,David McNally
Playing for Keeps,2012,2012,5.7,A former sports star who's fallen on hard times starts coaching his son's football team as a way to get his life together. His attempts to become an adult are met with challenges from the attractive football moms who pursue him at every turn.,Awards,Learn more about contributing,Stars,Gerard Butler,Gabriele Muccino
Mr. Magorium's Wonder Emporium,2007,2007,6.2,"The young apprentice of a magical, eccentric toy store owner learns to believe in herself, and in her friends, upon learning some grave news about the future.",Awards,,Stars,Natalie Portman,Zach Helm
Soul Survivors,2001,2001,3.8,A college student is caught between the world of the living and the dead.,Trivia,Learn more about contributing,Stars,Melissa Sagemiller,Stephen Carpenter
The Wash,2001,2001,4.7,Life at the car wash is a place where anything can and does happen to two friends (Dr. Dre and Snoop Dogg) trying to earn money to pay their rent.,Trivia,Learn more about contributing,Stars,Dr. Dre,DJ Pooh
"Dude, Where's My Car?",2000,2000,5.5,Two potheads wake up after a night of partying and cannot remember where they parked their car.,Awards,Learn more about contributing,Stars,Ashton Kutcher,Danny Leiner
Street Fighter: The Legend of Chun-Li,2009,2009,3.7,"When a teenager, Chun-Li witnesses the kidnapping of her father by wealthy crime lord M. Bison. When she grows up, she goes into a quest for vengeance and becomes the famous crime-fighter of the Street Fighter universe.",Trivia,Writers,Stars,Kristin Kreuk,Andrzej Bartkowiak
The Twilight Saga: New Moon,2009,2009,4.7,"Edward leaves Bella after an attack that nearly claimed her life, and, in her depression, she falls into yet another difficult relationship - this time with her close friend, Jacob Black.",Awards,,Stars,Kristen Stewart,Chris Weitz
Billy Madison,1995,1995,6.3,"In order to inherit his fed up father's hotel empire, an immature and lazy man must repeat grades 1-12 all over again.",Awards,,Stars,Adam Sandler,Tamra Davis
Valentine's Day,2010,2010,5.7,Intertwining couples and singles in Los Angeles break-up and make-up based on the pressures and expectations of Valentine's Day.,Awards,Learn more about contributing,Stars,Julia Roberts,Garry Marshall
Show Boat,1951,1951,6.9,"The daughter of a riverboat captain falls in love with a charming gambler, but their fairy tale romance is threatened after his luck turns sour.",Nominated for 2 Oscars,Writers,Stars,Kathryn Grayson,George Sidney
Need for Speed,2014,2014,6.4,"Fresh from prison, a street racer who was framed by a wealthy business associate joins a cross-country race with revenge in mind. His ex-partner, learning of the plan, places a massive bounty on his head as the race begins.",Awards,Learn more about contributing,Stars,Aaron Paul,Scott Waugh
Hellboy,2019,2019,5.2,"Caught between the worlds of the supernatural and human, Hellboy battles an ancient sorceress bent on revenge.",Awards,,Stars,David Harbour,Neil Marshall
Music,2021,2021,3.2,"Zu is newly sober when she receives news that she is to become the sole guardian of her half-sister named Music, a young girl on the autism spectrum. The film explores two of Sia's favorite themes: finding your voice and creating family.",Awards,Learn more about contributing,Stars,Kate Hudson,Sia
The Shack,2017,2017,6.2,"A grieving man receives a mysterious, personal invitation to meet with God at a place called ""The Shack.""",Awards,Writers,Stars,Sam Worthington,Stuart Hazeldine
Fist Fight,2017,2017,5.6,"When one school teacher unwittingly causes another teacher's dismissal, he is challenged to an after-school fight.",Awards,Learn more about contributing,Stars,Ice Cube,Richie Keen
