title,year,certificate,rating,description,director,writer,stars,actors,genres
Dune,1984,1984,6.3,A Duke's son leads desert warriors against the galactic emperor and his father's evil nemesis to free their desert world from the emperor's rule.,Nominated for 1 Oscar,,Stars,Kyle MacLachlan,David Lynch
The Age of Innocence,1993,1993,7.2,"A tale of nineteenth-century New York high society in which a young lawyer falls in love with a woman separated from her husband, while he is engaged to the woman's cousin.",Won 1 Oscar,Learn more about contributing,Stars,Daniel Day-Lewis,Martin Scorsese
Chaos Walking,2021,2021,5.7,Two unlikely companions embark on a perilous adventure through the badlands of an unexplored planet as they try to escape a dangerous and disorienting reality where all thoughts are seen and heard by everyone.,Awards,Learn more about contributing,Stars,Tom Holland,Doug Liman
Guilty as Sin,1993,1993,5.6,"A female lawyer takes an accused wife-murderer as a client, but finds herself morally compelled to betray him one way or another.",Awards,Learn more about contributing,Stars,Rebecca De Mornay,Sidney Lumet
Le Donk & Scor-zay-zee,2009,2009,6.3,"Rock roadie, Le Donk, has lived, loved and learned. Along the way, he's lost a classy girlfriend but gained a sidekick, Scorz-Ayz-Ee. He sets out to make Scorz a star with a little help from the Artic Monkeys.",Awards,Learn more about contributing,Stars,Paddy Considine,Shane Meadows
Alice in Wonderland,2010,2010,6.4,"Nineteen-year-old Alice returns to the magical world from her childhood adventure, where she reunites with her old friends and learns of her true destiny: to end the Red Queen's reign of terror.",Won 2 Oscars,,Stars,Mia Wasikowska,Tim Burton
Easy Virtue,1927,1927,5.5,A recently divorced woman hides her scandalous past from her new husband and his family.,Trivia,,Stars,Isabel Jeans,Alfred Hitchcock
Away We Go,2009,2009,7.0,"A couple who is expecting their first child travel around the U.S. in order to find a perfect place to start their family. Along the way, they have misadventures and find fresh connections with an assortment of relatives and old friends who just might help them discover ""home"" on their own terms for the first time.",Awards,,Stars,John Krasinski,Sam Mendes
Crimewave,1985,1985,5.6,"A pair of whacked-out cartoon-like exterminator/hitmen kill the owner of a burglar-alarm company, and stalk the partner who hired them, his wife, and a nerd framed for the murder, who tells the story in flashback from the electric chair.",Trivia,Learn more about contributing,Stars,Louise Lasser,Sam Raimi
Horrible Bosses 2,2014,2014,6.3,"Dale, Kurt and Nick decide to start their own business but things don't go as planned because of a slick investor, prompting the trio to pull off a harebrained and misguided kidnapping scheme.",Awards,Writers,Stars,Jason Bateman,Sean Anders
Dumb and Dumber To,2014,2014,5.6,"20 years since their first adventure, Lloyd and Harry go on a road trip to find Harry's newly discovered daughter, who was given up for adoption.",Awards,Writers,Stars,Jim Carrey,Bobby Farrelly
Tusk,2014,2014,5.3,A brash and arrogant podcaster gets more than he bargained for when he travels to Canada to interview a mysterious recluse... who has a rather disturbing fondness for walruses.,Awards,Learn more about contributing,Stars,Justin Long,Kevin Smith
13 Hours,2016,2016,7.3,"During an attack on a U.S. compound in Libya, a security team struggles to make sense out of the chaos.",Nominated for 1 Oscar,Learn more about contributing,Stars,John Krasinski,Michael Bay
The Do-Over,2016,2016,5.7,"Two down-on-their-luck guys decide to fake their own deaths and start over with new identities, only to find the people they're pretending to be are in even deeper trouble.",Trivia,Learn more about contributing,Stars,Adam Sandler,Steven Brill
Money Monster,2016,2016,6.5,Financial TV host Lee Gates and his producer Patty are put in an extreme situation when an irate investor takes them and their crew as hostage.,Awards,Learn more about contributing,Stars,George Clooney,Jodie Foster
Now You See Me 2,2016,2016,6.4,"The Four Horsemen resurface, and are forcibly recruited by a tech genius to pull off their most impossible heist yet.",Awards,Writers,Stars,Jesse Eisenberg,Jon M. Chu
Criminal,2016,2016,6.3,"In a last-ditch effort to stop a diabolical plot, a dead CIA operative's memories, secrets, and skills are implanted into a death-row inmate in hopes that he will complete the operative's mission.",Trivia,Learn more about contributing,Stars,Kevin Costner,Ariel Vromen
The 5th Wave,2016,2016,5.2,"Four waves of increasingly deadly alien attacks have left most of Earth in ruin. Cassie is on the run, desperately trying to save her younger brother.",Awards,Writers,Stars,Chloë Grace Moretz,J Blakeson
The Fortune Cookie,1966,1966,7.3,A crooked lawyer persuades his brother-in-law to feign a serious injury.,Won 1 Oscar,Learn more about contributing,Stars,Jack Lemmon,Billy Wilder
