iter	Passed	Remaining
834	13473	2662
835	13489	2646
836	13504	2629
837	13519	2613
838	13534	2597
839	13550	2581
840	13565	2564
841	13580	2548
842	13597	2532
843	13612	2516
844	13627	2499
845	13642	2483
846	13658	2467
847	13674	2451
848	13689	2434
849	13704	2418
850	13719	2402
851	13734	2385
852	13750	2369
853	13765	2353
854	13781	2337
855	13796	2320
856	13811	2304
857	13826	2288
858	13842	2272
859	13857	2255
860	13873	2239
861	13890	2223
862	13906	2207
863	13922	2191
864	13937	2175
865	13953	2159
866	13968	2142
867	13983	2126
868	13999	2110
869	14013	2094
870	14028	2077
871	14043	2061
872	14059	2045
873	14078	2029
874	14093	2013
875	14108	1997
876	14123	1980
877	14139	1964
878	14154	1948
879	14169	1932
880	14184	1915
881	14201	1899
882	14216	1883
883	14231	1867
884	14246	1851
885	14261	1835
886	14276	1818
887	14291	1802
888	14307	1786
889	14322	1770
890	14337	1753
891	14353	1737
892	14368	1721
893	14383	1705
894	14399	1689
895	14415	1673
896	14430	1657
897	14445	1640
898	14461	1624
899	14477	1608
900	14492	1592
901	14507	1576
902	14522	1560
903	14538	1543
904	14553	1527
905	14568	1511
906	14583	1495
907	14599	1479
908	14615	1463
909	14630	1447
910	14646	1430
911	14661	1414
912	14676	1398
913	14691	1382
914	14706	1366
915	14721	1350
916	14737	1333
917	14752	1317
918	14767	1301
919	14782	1285
920	14797	1269
921	14813	1253
922	14828	1237
923	14843	1220
924	14858	1204
925	14874	1188
926	14890	1172
927	14905	1156
928	14921	1140
929	14935	1124
930	14951	1108
931	14966	1091
932	14981	1075
933	14996	1059
934	15011	1043
935	15026	1027
936	15041	1011
937	15057	995
938	15072	979
939	15087	963
940	15103	946
941	15130	931
942	15145	915
943	15160	899
944	15176	883
945	15191	867
946	15207	851
947	15222	834
948	15237	818
949	15252	802
950	15267	786
951	15283	770
952	15298	754
953	15314	738
954	15329	722
955	15344	706
956	15360	690
957	15375	674
958	15390	657
959	15412	642
960	15430	626
961	15447	610
962	15464	594
963	15480	578
964	15498	562
965	15516	546
966	15532	530
967	15552	514
968	15571	498
969	15587	482
970	15606	466
971	15625	450
972	15642	434
973	15658	417
974	15674	401
975	15691	385
976	15707	369
977	15724	353
978	15741	337
979	15757	321
980	15774	305
981	15790	289
982	15806	273
983	15823	257
984	15839	241
985	15855	225
986	15873	209
987	15889	192
988	15906	176
989	15923	160
990	15940	144
991	15957	128
992	15974	112
993	15993	96
994	16011	80
995	16031	64
996	16049	48
997	16066	32
998	16084	16
999	16102	0
